Name,Price,Brand,Color,Primary_material,Primary_Category,Category,Subcategory,Subsubcategory
Oscar Three Seater Sofa in Denim Blue Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Ash Grey Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Beige Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Sandy Brown Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Lara Three Seater Sofa in Denim Blue Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Lara Three Seater Sofa in Charcoal Grey Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Lara Three Seater Sofa in Ash Grey Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Lara Three Seater Sofa in Beige Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alba Three Seater Sofa in Ash Grey Colour by CasaCraft,19999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Rosario Three Seater Sofa in Navy Blue Color by CasaCraft,23099,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Belem Three Seater Sofa in Garnet Red Color by CasaCraft,23999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Nina Three Seater Sofa in Ash Grey Colour by CasaCraft,22999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Nina Three Seater Sofa in Charcoal Grey Colour by CasaCraft,22999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Mamore Three Seater Sofa in Chestnut Brown Color by CasaCraft,28999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Parana Three Seater Sofa in Beige Color by CasaCraft,35999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Parana Three Seater Sofa in Charcoal Grey Color by CasaCraft,35999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Zulia Three Seater Sofa in Beige Color by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Juan Three Seater Sofa in Ice Blue Colour by CasaCraft,23749,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cordoba Three Seater Sofa in Denim Blue Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Santiago Three Seater Sofa in Navy Blue Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cielo Three Seater Sofa in Beige Colour by CasaCraft,31999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Garnet Red Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Beige Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Navy Blue Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Denim Blue Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Chestnut Brown Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Hugo Three Seater Sofa in Sandy Brown Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Garnet Red Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Navy Blue Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Charcoal Grey Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Oscar Three Seater Sofa in Chestnut Brown Colour by CasaCraft,26899,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Valencia Three Seater Sofa in Ocean Blue Colour by CasaCraft,36999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
San Bruno Three Seater Sofa in Dark Brown Colour by CasaCraft,14499,CasaCraft,,Fabric,Home, Clearance, Sofa & Seating, Sofas
Castilla Three Seater Sofa in Brown Colour by CasaCraft,31499,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Navy Blue Colour by CasaCraft,41999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Dark Brown Colour by CasaCraft,42999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Sandy Beige Colour by CasaCraft,42999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Beige Colour by CasaCraft,41999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Charcoal Grey Colour by CasaCraft,41999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Garnet Red Colour by CasaCraft,41999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Tierra Three Seater Sofa in Chestnut Brown Colour by CasaCraft,41999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Bogota Three Seater Sofa in Red Colour by CasaCraft,23999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Bogota Three Seater Sofa in Blue Colour by CasaCraft,23999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,23499,Auspicious Home,,Acacia Wood,Home, Furniture, Sofas & Loungers, Sofas
Hayden Solid Wood Three Seater Sofa in Honey Oak Finish by Bohemiana,20499,Bohemiana,Honey Oak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Forma Three Seater Sofa in Brown Colour by Zofa,23999,Zofa,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa with Pouffe in Grey & Magenta Colour by DHEP Furniture,29999,DHEP Furniture,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Forma Three Seater Sofa in Camel Leatherette by Zofa,23999,Zofa,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Dime Three Seater Sofa in Grey Colour by Zofa,20999,Zofa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alice Three Seater Sofa in Grey Colour by Zofa,21499,Zofa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alice Three Seater Sofa in Teal Colour by Zofa ,21499,Zofa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alice Three Seater Sofa in Brown Colour by Zofa,20999,Zofa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Forma Three Seater Sofa in Black Leatherette by Zofa,21499,Zofa,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Dime Three Seater Sofa in Beige Colour by Zofa,20999,Zofa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Grey & Black  Colour by ACME,13499,Acme,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Light Brown & Brown  Colour by ACME,13499,Acme,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Trendy Three Seater Sofa in Cappuccino Colour by Muebles Casa,23499,Muebles Casa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Vivid Three Seater Sofa in Brown Colour by ARRA,16999,ARRA,Brown,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Zurich Delight Three Seater Sofa in Dark Maroon Colour by Urban Living,24499,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Bella Three Seater Sofa in Brown Leatherette by Muebles Casa,18499,Muebles Casa,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Cooper Three Seater Sofa by ARRA,19999,ARRA,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cooper Three Seater Sofa in Royal Blue Colour by ARRA,19499,ARRA,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Eartigo Three Seater Sofa in Brown Colour by Crystal Furnitech,13499,Crystal Furnitech,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cooper Three Seater Sofa in Beige Colour by ARRA,19999,ARRA,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Magnum Three Seater Sofa in Black Leatherette by Crystal Furnitech,20499,Crystal Furnitech,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Ithaca Impulse Three Seater Sofa with Throw Cushions in Burnt Sienna Colour by Urban Living,29499,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Greenwich Three Seater Sofa in Caramel Brown Colour by Urban Living,18999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Felix Three Seater Sofa in Black Leatherette by Crystal Furnitech,11999,Crystal Furnitech,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Zurich Delight Three Seater Sofa in Dark Brown Colour by Urban Living,24499,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Northwest Three Seater Sofa by Looking Good Furniture,14999,Looking Good Furniture,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
New Ciara Three Seater Sofa in Dual Tone by Crystal Furnitech,12719,Crystal Furnitech,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Woodway Solid Wood Three Seater Sofa in Provincial Teak Finish by Woodsworth,24999,Woodsworth,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Cooper Three Seater Sofa in Brown Colour by ARRA,19999,ARRA,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cooper Three Seater Sofa in Cherry Colour by ARRA,19499,ARRA,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Berlin Three Seater Sofa in Blue Colour by Crystal Furnitech,21499,Crystal Furnitech,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Dublin Three Seater Sofa in Black Leatherette by Parin,15499,Parin,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Grey Colour by Kuka,29999,Kuka,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Light Grey Colour by Kuka,39999,Kuka,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Light Beige Colour by Kuka,29999,Kuka,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Brown Colour by Kuka,29999,Kuka,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Three Seater Sofa in Dark Grey by Kuka,39999,Kuka,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Vayaka Solid Wood Three Seater Sofa with Storage in Honey Oak Finish by Mudramark,29499,Mudramark,Honey Oak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Vayaka Solid Wood Three Seater Sofa with Storage in Provincial Teak Finish by Mudramark,29499,Mudramark,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Vienna Three Seater Sofa by Crystal Furnitech,20999,Crystal Furnitech,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Brass Three Seater Sofa in Dark Grey Colour by Muebles Casa,17999,Muebles Casa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Hamfir Three Seater Sofa in Brown Colour by Muebles Casa,24999,Muebles Casa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Stylus Three Seater Sofa with Cushions in Brown Colour by Crystal Furnitech,25999,Crystal Furnitech,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Poland Three Seater Sofa in Chocolate Brown Colour by Muebles Casa,14999,Muebles Casa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cedar Three Seater Sofa in Cherry Brown Leatherette by Muebles Casa,22499,Muebles Casa,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
